Year,HeadQuarter,Sector,Founders,Investor,Stage,Company_Brand,What_it_does,Amount
2018-01-01,,Ecommerce,Shantanu Deshpande,Sixth Sense Ventures,Pre-Seed,Bombay Shaving,Provides a range of male grooming products,6300000.0
2014-01-01,Mumbai,Edtech,"Adamas Belva Syah Devara, Iman Usman.",General Atlantic,Series C,Ruangguru,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students",150000000.0
2018-01-01,Mumbai,Edtech,Jatin Solanki,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey",Series A,Eduisfun,It aims to make learning fun via games.,28000000.0
2014-01-01,Chennai,Interior design,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",Series D,HomeLane,Provides interior designing solutions,30000000.0
2004-01-01,Telangana,AgriTech,Narayana Reddy Punyala,Innovation in Food and Agriculture (IFA),Bridge,Nu Genes,"It is a seed company engaged in production, processing and marketing of seeds",6000000.0
2018-01-01,Pune,Technology,Nitin Gupta,Undisclosed,Series A+,FlytBase,A drone automation platform,3000000.0
2018-01-01,Bengaluru,SaaS,"Vivek AG, Veekshith C Rai","Social Capital, AngelList India, Gemba Capital, Omphalos Ventures,  91springboard via Atal Innovation Mission, Niti Aayog.",Debt Financing,Finly,"It builds software products that makes work simpler, pleasant, and productive",3000000.0
2013-01-01,Noida,Technology,"Pavan Kushwaha, Paratosh Bansal, Dip Jung Thapa","Gilda VC, Art Venture, Rajeev Chitrabhanu.",Series E,Kratikal,It is a product-based cybersecurity solutions provider,1000000.0
2018-01-01,,AI & Tech,Renuka Ramnath,Multiples Alternate Asset Management,Series A,Quantiphi,It is an AI and big data services company providing business solutions.,20000000.0
2010-01-01,Delhi,E-commerce,"Peyush Bansal, Amit Chaudhary, Sumeet Kapahi",SoftBank,Series G,Lenskart,It is a eyewear company,275000000.0
2010-01-01,Mumbai,E-commerce & AR,"Abhay Bhat, Kinnar Shah",Venture Catalysts,Series A+,Cub McPaws,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha – kids,3000000.0
2018-01-01,Bengaluru,SaaS,D Padmanabhan,Avataar Ventures,Private Equity,Appnomic,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",22000000.0
2018-01-01,Chennai,Finance,"Puneet Gupta, Sucharita Mukherjee",Oikocredit,Series A,Kaleidofin,Platform that provides complete financial solutions for excluded individuals and households,5000000.0
2019-01-01,Ahmedabad,HR tech,Ishit Jethwa,Titan Capital,Series D,JobSquare,Technology-based platform that is connecting suitable applicants to the right recruiters,140500.0
2018-01-01,,Food tech,"Ahana Gautam, Udit Kejriwal",Matrix Partners,Series A,Open Secret,It produces and sells top quality snacks,3000000.0
2017-01-01,Delhi,Finance,Rakesh Malhotra,Sequoia Capital,Private Equity,LivFin,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises",5000000.0
2011-01-01,,Edtech,Byju Raveendran,"South Africa’s Naspers Ventures, the CPP Investment Board",Series A,Byju's,Provides online learning classes,540000000.0
2015-01-01,Bengaluru,Finance,Nitish Mittersain,Goldman Sachs.,Series B,Zest Money,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,15000000.0
2014-01-01,,Edtech,Amit Modi,Mumbai Angels Network,Series I,Witblox,Offers a range of robotics learning tools,182700.0
2018-01-01,Gurugram,Health,"Mohammed, Shashwat Diesh","Kunal Bahl, Rohit Bansal.",Seed,Azah Personal Care Pvt. Ltd.,Aims to solve some problems in the feminine hygiene sector,3000000.0
2015-01-01,,Finance,Renato Araujo,Brazilian VC Fund Confrapar,Series D1,SalaryFits,A platform that promotes financial well-being of employees at workplace,5000000.0
